Distance,Scenario,Sent,Received,PDR,RSSI_avg,Metric_avg
25,Outdoor,20,20,100.0,-32.65645592463497,87.34354407536503
50,Outdoor,20,20,100.0,-39.56552088868846,80.43447911131156
100,Outdoor,20,20,100.0,-49.32171724081615,70.67828275918384
200,Outdoor,20,20,100.0,-56.112833570736846,63.887166429263154
500,Outdoor,20,20,100.0,-66.58745935599174,53.41254064400825
