Scenario_ID,Packet_ID,RSSI,Metric,Success
25,1,-35.971955110801645,84.02804488919836,1
25,2,-34.175013807651105,85.82498619234889,1
25,3,-29.172608526663623,90.82739147333638,1
25,4,-38.88786215169814,81.11213784830187,1
25,5,-36.65406285011595,83.34593714988405,1
25,6,-39.65907746721747,80.34092253278253,1
25,7,-27.776202013337553,92.22379798666245,1
25,8,-41.68671013503817,78.31328986496183,1
25,9,-30.048227646439557,89.95177235356044,1
25,10,-27.045747643422693,92.95425235657731,1
25,11,-39.614257350564145,80.38574264943585,1
25,12,-42.22560185699401,77.77439814300598,1
25,13,-33.462588444858646,86.53741155514135,1
25,14,-25.53972898419181,94.46027101580819,1
25,15,-30.04507614422389,89.95492385577612,1
25,16,-31.762475185538726,88.23752481446127,1
25,17,-28.327948839485053,91.67205116051494,1
25,18,-27.969219997115147,92.03078000288485,1
25,19,-23.671998428926003,96.328001571074,1
25,20,-29.432755908415942,90.56724409158406,1
50,1,-39.69512744357722,80.30487255642278,1
50,2,-50.251867922824005,69.748132077176,1
50,3,-42.66557062499531,77.33442937500469,1
50,4,-45.95141143220857,74.04858856779143,1
50,5,-43.638635789931804,76.36136421006819,1
50,6,-31.02660204742837,88.97339795257163,1
50,7,-29.835628310273236,90.16437168972676,1
50,8,-42.99606832360617,77.00393167639383,1
50,9,-36.49514281283261,83.50485718716739,1
50,10,-37.3320956886673,82.6679043113327,1
50,11,-43.523306753471445,76.47669324652855,1
50,12,-37.10944590996627,82.89055409003373,1
50,13,-41.014682654988995,78.985317345011,1
50,14,-37.726461348235645,82.27353865176435,1
50,15,-34.30593239454208,85.69406760545792,1
50,16,-35.73237436483433,84.26762563516567,1
50,17,-42.10515021793126,77.89484978206875,1
50,18,-41.57003436210843,78.42996563789157,1
50,19,-34.17963261530234,85.82036738469766,1
50,20,-44.15524675604375,75.84475324395625,1
100,1,-38.64490609529129,81.35509390470871,1
100,2,-49.37734314897991,70.62265685102008,1
100,3,-43.5953587089947,76.4046412910053,1
100,4,-47.66906325684946,72.33093674315054,1
100,5,-59.574289147428374,60.425710852571626,1
100,6,-48.19761629197205,71.80238370802795,1
100,7,-49.27364013704367,70.72635986295633,1
100,8,-48.757668213505774,71.24233178649422,1
100,9,-45.74006171210543,74.25993828789457,1
100,10,-54.36199586368981,65.63800413631019,1
100,11,-41.0747546402877,78.9252453597123,1
100,12,-45.77154029337747,74.22845970662253,1
100,13,-42.76060530270455,77.23939469729545,1
100,14,-46.87242813007428,73.12757186992572,1
100,15,-51.59672207955191,68.40327792044809,1
100,16,-43.48238294061046,76.51761705938955,1
100,17,-48.22604980013322,71.77395019986679,1
100,18,-55.96481301747308,64.03518698252692,1
100,19,-65.34579939541092,54.65420060458908,1
100,20,-60.14730664083902,59.85269335916098,1
200,1,-58.68714764547585,61.31285235452415,1
200,2,-51.744413153162526,68.25558684683747,1
200,3,-63.796984994008454,56.203015005991546,1
200,4,-49.724860501964585,70.27513949803541,1
200,5,-64.37473503539533,55.62526496460467,1
200,6,-52.31089822553072,67.68910177446928,1
200,7,-54.92347049788897,65.07652950211103,1
200,8,-55.7694510560503,64.2305489439497,1
200,9,-59.678529912083405,60.321470087916595,1
200,10,-48.636452454617974,71.36354754538203,1
200,11,-52.079731140722586,67.92026885927741,1
200,12,-56.15742770235697,63.84257229764303,1
200,13,-56.106913430901386,63.893086569098614,1
200,14,-59.132872676817655,60.867127323182345,1
200,15,-52.513781422777384,67.48621857722262,1
200,16,-56.43766592263533,63.56233407736467,1
200,17,-61.0919041478502,58.9080958521498,1
200,18,-61.77228639217881,58.22771360782119,1
200,19,-46.69737299816432,73.30262700183567,1
200,20,-60.61977210415415,59.38022789584585,1
500,1,-66.29135080882077,53.708649191179234,1
500,2,-72.19280385308296,47.807196146917036,1
500,3,-69.53804664085317,50.46195335914683,1
500,4,-60.89085749354379,59.10914250645621,1
500,5,-72.19453585499693,47.80546414500307,1
500,6,-71.61165131671993,48.38834868328007,1
500,7,-69.67952883862559,50.320471161374414,1
500,8,-66.75029385973022,53.24970614026978,1
500,9,-64.2770334577318,55.722966542268196,1
500,10,-67.38912393433408,52.61087606566592,1
500,11,-65.81961110577001,54.18038889422999,1
500,12,-72.79661070874766,47.203389291252336,1
500,13,-69.66576476424143,50.33423523575857,1
500,14,-54.47943317075955,65.52056682924045,1
500,15,-59.934085507213055,60.065914492786945,1
500,16,-73.35756981462326,46.64243018537674,1
500,17,-56.12923688828607,63.87076311171393,1
500,18,-70.00464257075893,49.99535742924107,1
500,19,-61.41874879025332,58.58125120974668,1
500,20,-67.32825774074229,52.67174225925771,1
