Scenario,Sent,Received,PDR_%,RSSI_avg,Metric_avg
25,30,30,100.0,-34.373628173787324,85.62637182621266
50,30,30,100.0,-41.61045797312311,78.38954202687687
100,30,30,100.0,-47.9434239249825,72.05657607501752
200,30,30,100.0,-55.27526900206908,64.72473099793092
500,30,30,100.0,-65.30615148650192,54.69384851349809
